ThetaDeg;N;SkinDepth;IdealBcErrorPct;SkinBcErrorPct;BcAbsDiffPct;IdealEnergyTotalPct;SkinEnergyTotalPct;EnergyTotalAbsDiffPct;IdealReflectedPct;SkinReflectedPct;ReflectedAbsDiffPct;IdealTransmittedPct;SkinTransmittedPct;AbsorbedSkinPct
0;5;0.10000000000000001;2.5135369022092378;15.189311229882382;12.675774327673144;100;100;0;7.8027810396408421;0.23192457834809754;7.5708564612927445;92.197218960359166;98.314017450403895;1.4540579712480113
0;5;0.01;2.5135369022092378;7.2721438255645445;4.7586069233553072;100;100;0;7.8027810396408421;8.198280898860034;0.39549985921919184;92.197218960359166;87.055181230721161;4.7465378704188064
0;5;0.001;2.5135369022092378;3.338349430493595;0.82481252828435736;100;100;0;7.8027810396408421;8.1231120361579929;0.3203309965171508;92.197218960359166;91.220932950828569;0.65595501301343062
0;10;0.10000000000000001;0.0006366866840683274;0.52415951239540348;0.52352282571133524;100;100;0;7.8203164025631864;0.2307102061494567;7.5896061964137296;92.179683597436807;98.382722401748708;1.3865673921018418
0;10;0.01;0.0006366866840683274;0.40671323371927948;0.40607654703521112;100;100;0;7.8203164025631864;8.1683695334231015;0.34805313085991507;92.179683597436807;87.188675102326457;4.6429553642504304
0;10;0.001;0.0006366866840683274;0.22788225656978378;0.22724556988571545;100;100;0;7.8203164025631864;8.1690113357309908;0.34869493316780442;92.179683597436807;91.191515398861355;0.63947326540765714
0;20;0.10000000000000001;1.9656113258792911E-05;0.088395123280684829;0.088375467167426031;100;100;0;7.8203041250258716;0.22964812721022956;7.5906559978156416;92.179695874974115;98.379948588779271;1.3904032840105056
0;20;0.01;1.9656113258792911E-05;0.062286995977369253;0.062267339864110462;100;100;0;7.8203041250258716;8.1492543785320386;0.32895025350616702;92.179695874974115;87.168788437937664;4.6819571835303098
0;20;0.001;1.9656113258792911E-05;0.035990903715580294;0.035971247602321503;100;100;0;7.8203041250258716;8.1638732233641953;0.34356909833832372;92.179695874974115;91.158866278861225;0.67726049777457731
0;30;0.10000000000000001;7.3117090783610511E-06;0.027572612964425595;0.027565301255347237;100;100;0;7.8203040627533982;0.22945072279023809;7.5908533399631599;92.179695937246606;98.378758576529293;1.3917907006804779
0;30;0.01;7.3117090783610511E-06;0.018925264044282568;0.018917952335204206;100;100;0;7.8203040627533982;8.145753814485861;0.32544975173246282;92.179695937246606;87.161226389578459;4.693019795935677
0;30;0.001;7.3117090783610511E-06;0.009181758938740547;0.0091744472296621856;100;100;0;7.8203040627533982;8.162004058847625;0.34169999609422685;92.179695937246606;91.146556347043727;0.6914395941086392
0;60;0.10000000000000001;7.9502839941562997E-07;0.003464216097154514;0.0034634210687550984;100;100;0;7.8203040356319669;0.22933219568876834;7.5909718399431982;92.179695964368037;98.378840985791854;1.3918268185193863
0;60;0.01;7.9502839941562997E-07;0.0023166617235884698;0.0023158666951890541;100;100;0;7.8203040356319669;8.143673938869469;0.32336990323750214;92.179695964368037;87.160998279788259;4.6953277813422716
0;60;0.001;7.9502839941562997E-07;0.00091237712280430342;0.00091158209440488785;100;100;0;7.8203040356319669;8.1609065324811887;0.34060249684922184;92.179695964368037;91.144654033095378;0.69443943442343969
30;5;0.10000000000000001;1.6728718752361607;20.10068025053954;18.427808375303378;100;100;0;9.5328257044228106;0.92830125030799038;8.60452445411482;90.46717429557718;98.53693077604153;0.53476797365046114
30;5;0.01;1.6728718752361607;4.4136516058791644;2.7407797306430037;100;100;0;9.5328257044228106;8.3810146016778191;1.1518111027449915;90.46717429557718;88.325559689118549;3.2934257092036274
30;5;0.001;1.6728718752361607;2.1080087842960662;0.43513690905990565;100;100;0;9.5328257044228106;9.9014788737309409;0.3686531693081303;90.46717429557718;89.671291271613669;0.42722985465537888
30;10;0.10000000000000001;0.00037407490065308245;1.2244492966849692;1.2240752217843161;100;100;0;9.5415160203990332;0.91674192765191131;8.6247740927471224;90.458483979600985;98.591146897207523;0.49211117514055208
30;10;0.01;0.00037407490065308245;0.45732356920084721;0.45694949430019416;100;100;0;9.5415160203990332;8.2886162343345102;1.252899786064523;90.458483979600985;88.463570535666719;3.2478132299987625
30;10;0.001;0.00037407490065308245;0.2958178167608283;0.29544374186017519;100;100;0;9.5415160203990332;9.9184022687428008;0.3768862483437676;90.458483979600985;89.665699169448416;0.41589856180880164
30;20;0.10000000000000001;2.776046152151186E-05;0.20040180097778962;0.20037404051626812;100;100;0;9.5415094072791575;0.91202258577986162;8.6294868214992952;90.458490592720835;98.598399127953115;0.48957828626702266
30;20;0.01;2.776046152151186E-05;0.06995024111395523;0.069922480652433713;100;100;0;9.5415094072791575;8.2563784694720663;1.2851309378070912;90.458490592720835;88.463850714399385;3.2797708161285604
30;20;0.001;2.776046152151186E-05;0.045191423191051364;0.045163662729529847;100;100;0;9.5415094072791575;9.9054601007596794;0.36395069348052189;90.458490592720835;89.647266130346893;0.44727376889343212
30;30;0.10000000000000001;1.0340792434327359E-05;0.062443982572221897;0.062433641779787566;100;100;0;9.5415084130960555;0.91114547372699406;8.6303629393690606;90.458491586903946;98.600192638448618;0.48866188782439896
30;30;0.01;1.0340792434327359E-05;0.021343989889620187;0.021333649097185856;100;100;0;9.5415084130960555;8.2504592239843806;1.2910491891116749;90.458491586903946;88.460688836480088;3.2888519395355251
30;30;0.001;1.0340792434327359E-05;0.011452584838757426;0.011442244046323097;100;100;0;9.5415084130960555;9.9022204913890253;0.36071207829296981;90.458491586903946;89.638192674171734;0.45958683443924592
30;60;0.10000000000000001;1.1205298818833052E-06;0.007803224147413401;0.0078021036175315176;100;100;0;9.5415079879607347;0.9106188435050967;8.6308891444556384;90.458492012039258;98.600638942640231;0.48874221385467131
30;60;0.01;1.1205298818833052E-06;0.0025889756724240941;0.0025878551425422111;100;100;0;9.5415079879607347;8.246934549395629;1.2945734385651058;90.458492012039258;88.462236620120564;3.2908288304838154
30;60;0.001;1.1205298818833052E-06;0.0011336700618547078;0.0011325495319728244;100;100;0;9.5415079879607347;9.9003397502839601;0.35883176232322533;90.458492012039258;89.637547442874322;0.46211280684171419
60;5;0.10000000000000001;1.4518396137745939;7.2529020927501628;5.8010624789755685;100;100;0;11.704080739179846;3.0422077965307315;8.661872942649115;88.295919260820142;96.615914916707851;0.34187728676141671
60;5;0.01;1.4518396137745939;5.1059173850131572;3.6540777712385633;100;100;0;11.704080739179846;7.4889165882024349;4.2151641509774107;88.295919260820142;89.850844980483231;2.6602384313143275
60;5;0.001;1.4518396137745939;2.2526148191547102;0.80077520538011615;100;100;0;11.704080739179846;11.946065864037415;0.24198512485756929;88.295919260820142;87.564951809785043;0.48898232617753684
60;10;0.10000000000000001;0.00038568798308145512;1.7707725524795055;1.770386864496424;100;100;0;11.699037548630473;3.0058274649905861;8.6932100836398867;88.300962451369543;96.700949951064715;0.29322258394469186
60;10;0.01;0.00038568798308145512;0.38631926497757196;0.38593357699449049;100;100;0;11.699037548630473;7.3512727547876109;4.3477647938428623;88.300962451369543;90.019258665118628;2.6294685800937669
60;10;0.001;0.00038568798308145512;0.30082238550578466;0.30043669752270319;100;100;0;11.699037548630473;11.85736192591847;0.15832437728799675;88.300962451369543;87.679660081888187;0.46297799219335189
60;20;0.10000000000000001;3.7531825978579482E-05;0.30928097854005104;0.3092434467140725;100;100;0;11.699036459839293;2.9950292000594936;8.7040072597798002;88.300963540160708;96.717647331848895;0.28732346809161047
60;20;0.01;3.7531825978579482E-05;0.063048131423514994;0.063010599597536424;100;100;0;11.699036459839293;7.3193413479903757;4.3796951118489176;88.300963540160708;90.030979953149782;2.6496786988598355
60;20;0.001;3.7531825978579482E-05;0.049006437124210316;0.048968905298231738;100;100;0;11.699036459839293;11.809680415373286;0.11064395553399287;88.300963540160708;87.687690157565839;0.50262942706087788
60;30;0.10000000000000001;1.4096751982457625E-05;0.098401556065036574;0.098387459313054121;100;100;0;11.699036030071962;2.9929907713315518;8.70604525874041;88.300963969928034;96.721755523028321;0.28525370564013136
60;30;0.01;1.4096751982457625E-05;0.019492001005981835;0.019477904253999378;100;100;0;11.699036030071962;7.313448855671532;4.3855871744004302;88.300963969928034;90.030551227240352;2.6559999170881232
60;30;0.001;1.4096751982457625E-05;0.012880807656264351;0.012866710904281894;100;100;0;11.699036030071962;11.800086324038709;0.10105029396674681;88.300963969928034;87.680977401114319;0.51893627484697558
60;60;0.10000000000000001;1.5129513476178459E-06;0.011843140729558312;0.011841627778210694;100;100.00000000000003;2.8421709430404007E-14;11.699035981850598;2.9917623197332053;8.7072736621173927;88.300964018149401;96.722945688277605;0.28529199198920518
60;60;0.01;1.5129513476178459E-06;0.0023275627878576958;0.002326049836510078;100;100;0;11.699035981850598;7.3099284820365718;4.3891074998140258;88.300964018149401;90.033135323754493;2.6569361942089356
60;60;0.001;1.5129513476178459E-06;0.0012538588862925312;0.0012523459349449134;100;100;0;11.699035981850598;11.794519643945581;0.095483662094983046;88.300964018149401;87.683397600803957;0.52208275525046444
90;5;0.10000000000000001;0.37593159040017921;7.389649087400131;7.0137174969999521;100;100;0;19.43810029298707;4.1595535059844035;15.278546787002666;80.561899707012927;95.31739873138298;0.5230477626326151
90;5;0.01;0.37593159040017921;1.8362155797289657;1.4602839893287862;100;100;0;19.43810029298707;12.779072352383036;6.6590279406040338;80.561899707012927;82.419444016260329;4.8014836313566382
90;5;0.001;0.37593159040017921;0.77181136463268873;0.39587977423250953;100;100.00000000000003;2.8421709430404007E-14;19.43810029298707;20.526501749896887;1.0884014569098177;80.561899707012927;78.902568445938371;0.57092980416474592
90;10;0.10000000000000001;0.00043850711946616557;2.7702874559920638;2.7698489488725975;100;100;0;19.436735493747435;4.1214654588224633;15.315270034924971;80.563264506252565;95.481954856703169;0.39657968447437564
90;10;0.01;0.00043850711946616557;0.58692424357865813;0.586485736459192;100;100;0;19.436735493747435;12.541451400548983;6.8952840931984518;80.563264506252565;82.732697087947898;4.725851511503123
90;10;0.001;0.00043850711946616557;0.34655923880097217;0.34612073168150598;100;100;0;19.436735493747435;20.453783993171225;1.0170484994237903;80.563264506252565;78.988975283437568;0.55724072339120601
90;20;0.10000000000000001;4.9533002127137125E-05;0.44961036086062051;0.44956082785849338;100;100.00000000000003;2.8421709430404007E-14;19.43673447993805;4.1118006438861023;15.324933836051947;80.563265520061961;95.504692287753429;0.38350706836046383
90;20;0.01;4.9533002127137125E-05;0.08865833770628602;0.088608804704158883;100;100;0;19.43673447993805;12.478867880720744;6.9578665992173061;80.563265520061961;82.765951344995159;4.7551807742840975
90;20;0.001;4.9533002127137125E-05;0.053165425792802777;0.053115892790675641;100;100;0;19.43673447993805;20.405417747864927;0.96868326792687753;80.563265520061961;79.005512369666363;0.58906988246871184
90;30;0.10000000000000001;1.8587325922959414E-05;0.1401366220202096;0.14011803469428663;100;100;0;19.436734625032205;4.1099889617273471;15.326745663304859;80.563265374967798;95.510591216157493;0.3794198221151589
90;30;0.01;1.8587325922959414E-05;0.026950379617053058;0.026931792291130095;100;100;0;19.436734625032205;12.467252528084314;6.9694820969478908;80.563265374967798;82.768039153583814;4.7647083183318673
90;30;0.001;1.8587325922959414E-05;0.013518348348640016;0.013499761022717056;100;100.00000000000003;2.8421709430404007E-14;19.436734625032205;20.395266369935051;0.95853174490284587;80.563265374967798;79.002653743813397;0.60207988625156073
90;60;0.10000000000000001;1.9829879825878304E-06;0.017607559223689302;0.017605576235706712;100;100.00000000000003;2.8421709430404007E-14;19.43673452714502;4.1088988211820343;15.327835705962986;80.56326547285498;95.51169888524791;0.3794022935700645
90;60;0.01;1.9829879825878304E-06;0.0033076838147703164;0.0033057008267877285;100;100;0;19.43673452714502;12.460301917248117;6.9764326098969036;80.56326547285498;82.773977534730619;4.7657205480212639
90;60;0.001;1.9829879825878304E-06;0.0013426904778172689;0.0013407074898346809;100;100;0;19.43673452714502;20.389355032148373;0.95262050500335249;80.56326547285498;79.005959304452247;0.60468566339938135
